scrape_date,flight_date,route,carrier,advance_days,base_fare,taxes_and_fees,total_fare
2026-08-01,2026-08-02,DEL-BOM,Air India,1,12378,2228,14606
2026-08-01,2026-08-02,DEL-BOM,Air India,1,14340,2581,16921
2026-08-01,2026-08-02,DEL-BOM,Air India,1,14629,2633,17262
2026-08-01,2026-09-15,DEL-BOM,Akasa,45,3956,712,4668
2026-08-01,2026-09-15,DEL-BOM,Akasa,45,3790,682,4472
2026-08-01,2026-09-15,DEL-BOM,Akasa,45,4059,730,4789
2026-08-01,2026-09-15,DEL-BOM,Akasa,45,4341,781,5122
2026-08-01,2026-09-15,DEL-BOM,Akasa,45,4144,745,4889
2026-08-01,2026-08-31,DEL-BOM,Akasa,30,4459,802,5261
2026-08-01,2026-08-31,DEL-BOM,Akasa,30,4167,750,4917
2026-08-01,2026-08-31,DEL-BOM,Akasa,30,4839,871,5710
2026-08-01,2026-08-31,DEL-BOM,Akasa,30,4601,828,5429
2026-08-01,2026-08-31,DEL-BOM,Akasa,30,4494,808,5302
2026-08-01,2026-08-16,DEL-BOM,Akasa,15,5981,1076,7057
2026-08-01,2026-08-16,DEL-BOM,Akasa,15,6122,1101,7223
2026-08-01,2026-08-16,DEL-BOM,Akasa,15,5600,1008,6608
2026-08-01,2026-08-16,DEL-BOM,Akasa,15,5197,935,6132
2026-08-01,2026-08-16,DEL-BOM,Akasa,15,5934,1068,7002
2026-08-01,2026-08-08,DEL-BOM,Akasa,7,7371,1326,8697
2026-08-01,2026-08-08,DEL-BOM,Akasa,7,6517,1173,7690
2026-08-01,2026-08-08,DEL-BOM,Akasa,7,6940,1249,8189
2026-08-01,2026-08-08,DEL-BOM,Akasa,7,7796,1403,9199
2026-08-01,2026-08-08,DEL-BOM,Akasa,7,7814,1406,9220
2026-08-01,2026-08-02,DEL-BOM,Akasa,1,9920,1785,11705
2026-08-01,2026-08-02,DEL-BOM,Akasa,1,11251,2025,13276
2026-08-01,2026-08-02,DEL-BOM,Akasa,1,9759,1756,11515
2026-08-01,2026-08-02,DEL-BOM,Akasa,1,10193,1834,12027
2026-08-01,2026-08-02,DEL-BOM,Akasa,1,9704,1746,11450
2026-08-01,2026-09-15,DEL-BOM,SpiceJet,45,4258,766,5024
2026-08-01,2026-09-15,DEL-BOM,SpiceJet,45,3538,636,4174
2026-08-01,2026-09-15,DEL-BOM,SpiceJet,45,4021,723,4744
2026-08-01,2026-09-15,DEL-BOM,SpiceJet,45,3993,718,4711
2026-08-01,2026-09-15,DEL-BOM,SpiceJet,45,3833,689,4522
2026-08-01,2026-08-31,DEL-BOM,SpiceJet,30,3840,691,4531
2026-08-01,2026-08-31,DEL-BOM,SpiceJet,30,4438,798,5236
2026-08-01,2026-08-31,DEL-BOM,SpiceJet,30,4771,858,5629
2026-08-01,2026-08-31,DEL-BOM,SpiceJet,30,4744,853,5597
2026-08-01,2026-08-31,DEL-BOM,SpiceJet,30,4451,801,5252
2026-08-01,2026-08-16,DEL-BOM,SpiceJet,15,5221,939,6160
2026-08-01,2026-08-16,DEL-BOM,SpiceJet,15,5538,996,6534
2026-08-01,2026-08-16,DEL-BOM,SpiceJet,15,5562,1001,6563
2026-08-01,2026-08-16,DEL-BOM,SpiceJet,15,5453,981,6434
2026-08-01,2026-08-16,DEL-BOM,SpiceJet,15,4609,829,5438
2026-08-01,2026-08-08,DEL-BOM,SpiceJet,7,6240,1123,7363
2026-08-01,2026-08-08,DEL-BOM,SpiceJet,7,6183,1112,7295
2026-08-01,2026-08-08,DEL-BOM,SpiceJet,7,7477,1345,8822
2026-08-01,2026-08-08,DEL-BOM,SpiceJet,7,7052,1269,8321
2026-08-01,2026-08-08,DEL-BOM,SpiceJet,7,6450,1161,7611
2026-08-01,2026-08-02,DEL-BOM,SpiceJet,1,9843,1771,11614
2026-08-01,2026-08-02,DEL-BOM,SpiceJet,1,11170,2010,13180
2026-08-01,2026-08-02,DEL-BOM,SpiceJet,1,10727,1930,12657
2026-08-01,2026-08-02,DEL-BOM,SpiceJet,1,11215,2018,13233
2026-08-01,2026-08-02,DEL-BOM,SpiceJet,1,9638,1734,11372
2026-08-01,2026-09-15,DEL-BLR,IndiGo,45,5987,1077,7064
2026-08-01,2026-09-15,DEL-BLR,IndiGo,45,5880,1058,6938
2026-08-01,2026-09-15,DEL-BLR,IndiGo,45,5057,910,5967
2026-08-01,2026-09-15,DEL-BLR,IndiGo,45,6269,1128,7397
2026-08-01,2026-09-15,DEL-BLR,IndiGo,45,5675,1021,6696
2026-08-01,2026-08-31,DEL-BLR,IndiGo,30,5867,1056,6923
2026-08-01,2026-08-31,DEL-BLR,IndiGo,30,5985,1077,7062
2026-08-01,2026-08-31,DEL-BLR,IndiGo,30,5537,996,6533
2026-08-01,2026-08-31,DEL-BLR,IndiGo,30,5885,1059,6944
2026-08-01,2026-08-31,DEL-BLR,IndiGo,30,6226,1120,7346
2026-08-01,2026-08-16,DEL-BLR,IndiGo,15,6893,1240,8133
2026-08-01,2026-08-16,DEL-BLR,IndiGo,15,7763,1397,9160
2026-08-01,2026-08-16,DEL-BLR,IndiGo,15,6726,1210,7936
2026-08-01,2026-08-16,DEL-BLR,IndiGo,15,7075,1273,8348
2026-08-01,2026-08-16,DEL-BLR,IndiGo,15,7258,1306,8564
2026-08-01,2026-08-08,DEL-BLR,IndiGo,7,10542,1897,12439
2026-08-01,2026-08-08,DEL-BLR,IndiGo,7,9716,1748,11464
2026-08-01,2026-08-08,DEL-BLR,IndiGo,7,9521,1713,11234
2026-08-01,2026-08-08,DEL-BLR,IndiGo,7,9611,1729,11340
2026-08-01,2026-08-08,DEL-BLR,IndiGo,7,10361,1864,12225
2026-08-01,2026-08-02,DEL-BLR,IndiGo,1,16172,2910,19082
2026-08-01,2026-08-02,DEL-BLR,IndiGo,1,13981,2516,16497
2026-08-01,2026-08-02,DEL-BLR,IndiGo,1,14772,2658,17430
2026-08-01,2026-08-02,DEL-BLR,IndiGo,1,13379,2408,15787
2026-08-01,2026-08-02,DEL-BLR,IndiGo,1,15499,2789,18288
2026-08-01,2026-09-15,DEL-BLR,Air India,45,7171,1290,8461
2026-08-01,2026-09-15,DEL-BLR,Air India,45,5757,1036,6793
2026-08-01,2026-09-15,DEL-BLR,Air India,45,5822,1047,6869
2026-08-01,2026-09-15,DEL-BLR,Air India,45,6602,1188,7790
2026-08-01,2026-09-15,DEL-BLR,Air India,45,6568,1182,7750
2026-08-01,2026-08-31,DEL-BLR,Air India,30,7792,1402,9194
2026-08-01,2026-08-31,DEL-BLR,Air India,30,7881,1418,9299
2026-08-01,2026-08-31,DEL-BLR,Air India,30,7778,1400,9178
2026-08-01,2026-08-31,DEL-BLR,Air India,30,6401,1152,7553
2026-08-01,2026-08-31,DEL-BLR,Air India,30,6773,1219,7992
2026-08-01,2026-08-16,DEL-BLR,Air India,15,9608,1729,11337
2026-08-01,2026-08-16,DEL-BLR,Air India,15,8017,1443,9460
2026-08-01,2026-08-16,DEL-BLR,Air India,15,7949,1430,9379
2026-08-01,2026-08-16,DEL-BLR,Air India,15,9478,1706,11184
2026-08-01,2026-08-16,DEL-BLR,Air India,15,7686,1383,9069
2026-08-01,2026-08-08,DEL-BLR,Air India,7,10939,1969,12908
2026-08-01,2026-08-08,DEL-BLR,Air India,7,11996,2159,14155
2026-08-01,2026-08-08,DEL-BLR,Air India,7,11826,2128,13954
2026-08-01,2026-08-08,DEL-BLR,Air India,7,12228,2201,14429
2026-08-01,2026-08-08,DEL-BLR,Air India,7,11046,1988,13034
2026-08-01,2026-08-02,DEL-BLR,Air India,1,18531,3335,21866
2026-08-01,2026-08-02,DEL-BLR,Air India,1,18436,3318,21754
2026-08-01,2026-08-02,DEL-BLR,Air India,1,15674,2821,18495
2026-08-01,2026-08-02,DEL-BLR,Air India,1,18599,3347,21946
2026-08-01,2026-08-02,DEL-BLR,Air India,1,16123,2902,19025
2026-08-01,2026-09-15,DEL-BLR,Akasa,45,4883,878,5761
2026-08-01,2026-09-15,DEL-BLR,Akasa,45,5809,1045,6854
2026-08-01,2026-09-15,DEL-BLR,Akasa,45,4899,881,5780
2026-08-01,2026-09-15,DEL-BLR,Akasa,45,5334,960,6294
2026-08-01,2026-09-15,DEL-BLR,Akasa,45,4969,894,5863
2026-08-01,2026-08-31,DEL-BLR,Akasa,30,5394,970,6364
2026-08-01,2026-08-31,DEL-BLR,Akasa,30,6428,1157,7585
2026-08-01,2026-08-31,DEL-BLR,Akasa,30,5834,1050,6884
2026-08-01,2026-08-31,DEL-BLR,Akasa,30,5661,1018,6679
2026-08-01,2026-08-31,DEL-BLR,Akasa,30,5344,961,6305
2026-08-01,2026-08-16,DEL-BLR,Akasa,15,7951,1431,9382
2026-08-01,2026-08-16,DEL-BLR,Akasa,15,6818,1227,8045
2026-08-01,2026-08-16,DEL-BLR,Akasa,15,6634,1194,7828
2026-08-01,2026-08-16,DEL-BLR,Akasa,15,6538,1176,7714
2026-08-01,2026-08-16,DEL-BLR,Akasa,15,7307,1315,8622
2026-08-01,2026-08-08,DEL-BLR,Akasa,7,9708,1747,11455
2026-08-01,2026-08-08,DEL-BLR,Akasa,7,9551,1719,11270
2026-08-01,2026-08-08,DEL-BLR,Akasa,7,9797,1763,11560
2026-08-01,2026-08-08,DEL-BLR,Akasa,7,10613,1910,12523
2026-08-01,2026-08-08,DEL-BLR,Akasa,7,8637,1554,10191
2026-08-01,2026-08-02,DEL-BLR,Akasa,1,14265,2567,16832
2026-08-01,2026-08-02,DEL-BLR,Akasa,1,13388,2409,15797
2026-08-01,2026-08-02,DEL-BLR,Akasa,1,14470,2604,17074
2026-08-01,2026-08-02,DEL-BLR,Akasa,1,12542,2257,14799
2026-08-01,2026-08-02,DEL-BLR,Akasa,1,12864,2315,15179
2026-08-01,2026-09-15,DEL-BLR,SpiceJet,45,5411,973,6384
2026-08-01,2026-09-15,DEL-BLR,SpiceJet,45,4664,839,5503
2026-08-01,2026-09-15,DEL-BLR,SpiceJet,45,5120,921,6041
2026-08-01,2026-09-15,DEL-BLR,SpiceJet,45,4729,851,5580
2026-08-01,2026-09-15,DEL-BLR,SpiceJet,45,4775,859,5634
2026-08-01,2026-08-31,DEL-BLR,SpiceJet,30,5230,941,6171
2026-08-01,2026-08-31,DEL-BLR,SpiceJet,30,6087,1095,7182
2026-08-01,2026-08-31,DEL-BLR,SpiceJet,30,5964,1073,7037
2026-08-01,2026-08-31,DEL-BLR,SpiceJet,30,5904,1062,6966
2026-08-01,2026-08-31,DEL-BLR,SpiceJet,30,5199,935,6134
2026-08-01,2026-08-16,DEL-BLR,SpiceJet,15,6371,1146,7517
2026-08-01,2026-08-16,DEL-BLR,SpiceJet,15,6031,1085,7116
2026-08-01,2026-08-16,DEL-BLR,SpiceJet,15,7110,1279,8389
2026-08-01,2026-08-16,DEL-BLR,SpiceJet,15,7542,1357,8899
2026-08-01,2026-08-16,DEL-BLR,SpiceJet,15,6075,1093,7168
2026-08-01,2026-08-08,DEL-BLR,SpiceJet,7,9084,1635,10719
2026-08-01,2026-08-08,DEL-BLR,SpiceJet,7,9097,1637,10734
2026-08-01,2026-08-08,DEL-BLR,SpiceJet,7,10152,1827,11979
2026-08-01,2026-08-08,DEL-BLR,SpiceJet,7,9799,1763,11562
2026-08-01,2026-08-08,DEL-BLR,SpiceJet,7,10131,1823,11954
2026-08-01,2026-08-02,DEL-BLR,SpiceJet,1,14437,2598,17035
2026-08-01,2026-08-02,DEL-BLR,SpiceJet,1,11861,2134,13995
2026-08-01,2026-08-02,DEL-BLR,SpiceJet,1,14378,2588,16966
2026-08-01,2026-08-02,DEL-BLR,SpiceJet,1,14424,2596,17020
2026-08-01,2026-08-02,DEL-BLR,SpiceJet,1,12838,2310,15148
2026-08-01,2026-09-15,BOM-BLR,IndiGo,45,3502,630,4132
2026-08-01,2026-09-15,BOM-BLR,IndiGo,45,3621,651,4272
2026-08-01,2026-09-15,BOM-BLR,IndiGo,45,3871,696,4567
2026-08-01,2026-09-15,BOM-BLR,IndiGo,45,3668,660,4328
2026-08-01,2026-09-15,BOM-BLR,IndiGo,45,3687,663,4350
2026-08-01,2026-08-31,BOM-BLR,IndiGo,30,3894,700,4594
2026-08-01,2026-08-31,BOM-BLR,IndiGo,30,3687,663,4350
2026-08-01,2026-08-31,BOM-BLR,IndiGo,30,4124,742,4866
2026-08-01,2026-08-31,BOM-BLR,IndiGo,30,3930,707,4637
2026-08-01,2026-08-31,BOM-BLR,IndiGo,30,4128,743,4871
2026-08-01,2026-08-16,BOM-BLR,IndiGo,15,5014,902,5916
2026-08-01,2026-08-16,BOM-BLR,IndiGo,15,4383,788,5171
2026-08-01,2026-08-16,BOM-BLR,IndiGo,15,5382,968,6350
2026-08-01,2026-08-16,BOM-BLR,IndiGo,15,5046,908,5954
2026-08-01,2026-08-16,BOM-BLR,IndiGo,15,4649,836,5485
2026-08-01,2026-08-08,BOM-BLR,IndiGo,7,7088,1275,8363
2026-08-01,2026-08-08,BOM-BLR,IndiGo,7,6700,1206,7906
2026-08-01,2026-08-08,BOM-BLR,IndiGo,7,6909,1243,8152
2026-08-01,2026-08-08,BOM-BLR,IndiGo,7,7237,1302,8539
2026-08-01,2026-08-08,BOM-BLR,IndiGo,7,7197,1295,8492
2026-08-01,2026-08-02,BOM-BLR,IndiGo,1,10289,1852,12141
2026-08-01,2026-08-02,BOM-BLR,IndiGo,1,9151,1647,10798
2026-08-01,2026-08-02,BOM-BLR,IndiGo,1,10605,1908,12513
2026-08-01,2026-08-02,BOM-BLR,IndiGo,1,9609,1729,11338
2026-08-01,2026-08-02,BOM-BLR,IndiGo,1,9956,1792,11748
2026-08-01,2026-09-15,BOM-BLR,Air India,45,4539,817,5356
2026-08-01,2026-09-15,BOM-BLR,Air India,45,3966,713,4679
2026-08-01,2026-09-15,BOM-BLR,Air India,45,4487,807,5294
2026-08-01,2026-09-15,BOM-BLR,Air India,45,4590,826,5416
2026-08-01,2026-09-15,BOM-BLR,Air India,45,4192,754,4946
2026-08-01,2026-08-31,BOM-BLR,Air India,30,4587,825,5412
2026-08-01,2026-08-31,BOM-BLR,Air India,30,4019,723,4742
2026-08-01,2026-08-31,BOM-BLR,Air India,30,4309,775,5084
2026-08-01,2026-08-31,BOM-BLR,Air India,30,4847,872,5719
2026-08-01,2026-08-31,BOM-BLR,Air India,30,5033,905,5938
2026-08-01,2026-08-16,BOM-BLR,Air India,15,5866,1055,6921
2026-08-01,2026-08-16,BOM-BLR,Air India,15,6002,1080,7082
2026-08-01,2026-08-16,BOM-BLR,Air India,15,6167,1110,7277
2026-08-01,2026-08-16,BOM-BLR,Air India,15,5967,1074,7041
2026-08-01,2026-08-16,BOM-BLR,Air India,15,5344,961,6305
2026-08-01,2026-08-08,BOM-BLR,Air India,7,8268,1488,9756
2026-08-01,2026-08-08,BOM-BLR,Air India,7,7598,1367,8965
2026-08-01,2026-08-08,BOM-BLR,Air India,7,6610,1189,7799
2026-08-01,2026-08-08,BOM-BLR,Air India,7,8079,1454,9533
2026-08-01,2026-08-08,BOM-BLR,Air India,7,6548,1178,7726
2026-08-01,2026-08-02,BOM-BLR,Air India,1,11904,2142,14046
2026-08-01,2026-08-02,BOM-BLR,Air India,1,10846,1952,12798
2026-08-01,2026-08-02,BOM-BLR,Air India,1,11411,2053,13464
2026-08-01,2026-08-02,BOM-BLR,Air India,1,10887,1959,12846
2026-08-01,2026-08-02,BOM-BLR,Air India,1,10160,1828,11988
2026-08-01,2026-09-15,BOM-BLR,Akasa,45,3038,546,3584
2026-08-01,2026-09-15,BOM-BLR,Akasa,45,3323,598,3921
2026-08-01,2026-09-15,BOM-BLR,Akasa,45,3732,671,4403
2026-08-01,2026-09-15,BOM-BLR,Akasa,45,3718,669,4387
2026-08-01,2026-09-15,BOM-BLR,Akasa,45,3720,669,4389
2026-08-01,2026-08-31,BOM-BLR,Akasa,30,3889,700,4589
2026-08-01,2026-08-31,BOM-BLR,Akasa,30,4111,739,4850
2026-08-01,2026-08-31,BOM-BLR,Akasa,30,3332,599,3931
2026-08-01,2026-08-31,BOM-BLR,Akasa,30,3607,649,4256
2026-08-01,2026-08-31,BOM-BLR,Akasa,30,3805,684,4489
2026-08-01,2026-08-16,BOM-BLR,Akasa,15,4289,772,5061
2026-08-01,2026-08-16,BOM-BLR,Akasa,15,4713,848,5561
2026-08-01,2026-08-16,BOM-BLR,Akasa,15,4189,754,4943
2026-08-01,2026-08-16,BOM-BLR,Akasa,15,4441,799,5240
2026-08-01,2026-08-16,BOM-BLR,Akasa,15,4525,814,5339
2026-08-01,2026-08-08,BOM-BLR,Akasa,7,6150,1107,7257
2026-08-01,2026-08-08,BOM-BLR,Akasa,7,6222,1119,7341
2026-08-01,2026-08-08,BOM-BLR,Akasa,7,5643,1015,6658
2026-08-01,2026-08-08,BOM-BLR,Akasa,7,6401,1152,7553
2026-08-01,2026-08-08,BOM-BLR,Akasa,7,6699,1205,7904
2026-08-01,2026-08-02,BOM-BLR,Akasa,1,9242,1663,10905
2026-08-01,2026-08-02,BOM-BLR,Akasa,1,10002,1800,11802
2026-08-01,2026-08-02,BOM-BLR,Akasa,1,8067,1452,9519
2026-08-01,2026-08-02,BOM-BLR,Akasa,1,9780,1760,11540
2026-08-01,2026-08-02,BOM-BLR,Akasa,1,9282,1670,10952
2026-08-01,2026-09-15,BOM-BLR,SpiceJet,45,3152,567,3719
2026-08-01,2026-09-15,BOM-BLR,SpiceJet,45,3007,541,3548
2026-08-01,2026-09-15,BOM-BLR,SpiceJet,45,3065,551,3616
2026-08-01,2026-09-15,BOM-BLR,SpiceJet,45,3606,649,4255
2026-08-01,2026-09-15,BOM-BLR,SpiceJet,45,3093,556,3649
2026-08-01,2026-08-31,BOM-BLR,SpiceJet,30,3878,698,4576
2026-08-01,2026-08-31,BOM-BLR,SpiceJet,30,3188,573,3761
2026-08-01,2026-08-31,BOM-BLR,SpiceJet,30,3816,686,4502
2026-08-01,2026-08-31,BOM-BLR,SpiceJet,30,3609,649,4258
2026-08-01,2026-08-31,BOM-BLR,SpiceJet,30,3549,638,4187
2026-08-01,2026-08-16,BOM-BLR,SpiceJet,15,4343,781,5124
2026-08-01,2026-08-16,BOM-BLR,SpiceJet,15,4096,737,4833
2026-08-01,2026-08-16,BOM-BLR,SpiceJet,15,3961,712,4673
2026-08-01,2026-08-16,BOM-BLR,SpiceJet,15,4168,750,4918
2026-08-01,2026-08-16,BOM-BLR,SpiceJet,15,4688,843,5531
2026-08-01,2026-08-08,BOM-BLR,SpiceJet,7,6199,1115,7314
2026-08-01,2026-08-08,BOM-BLR,SpiceJet,7,6150,1107,7257
2026-08-01,2026-08-08,BOM-BLR,SpiceJet,7,5178,932,6110
2026-08-01,2026-08-08,BOM-BLR,SpiceJet,7,5776,1039,6815
2026-08-01,2026-08-08,BOM-BLR,SpiceJet,7,6098,1097,7195
2026-08-01,2026-08-02,BOM-BLR,SpiceJet,1,9094,1636,10730
2026-08-01,2026-08-02,BOM-BLR,SpiceJet,1,9449,1700,11149
2026-08-01,2026-08-02,BOM-BLR,SpiceJet,1,7635,1374,9009
2026-08-01,2026-08-02,BOM-BLR,SpiceJet,1,8782,1580,10362
2026-08-01,2026-08-02,BOM-BLR,SpiceJet,1,8584,1545,10129
2026-08-01,2026-09-15,DEL-CCU,IndiGo,45,5419,975,6394
2026-08-01,2026-09-15,DEL-CCU,IndiGo,45,5289,952,6241
2026-08-01,2026-09-15,DEL-CCU,IndiGo,45,5200,936,6136
2026-08-01,2026-09-15,DEL-CCU,IndiGo,45,4615,830,5445
2026-08-01,2026-09-15,DEL-CCU,IndiGo,45,4661,838,5499
2026-08-01,2026-08-31,DEL-CCU,IndiGo,30,5045,908,5953
2026-08-01,2026-08-31,DEL-CCU,IndiGo,30,5498,989,6487
2026-08-01,2026-08-31,DEL-CCU,IndiGo,30,5247,944,6191
2026-08-01,2026-08-31,DEL-CCU,IndiGo,30,5554,999,6553
2026-08-01,2026-08-31,DEL-CCU,IndiGo,30,4774,859,5633
2026-08-01,2026-08-16,DEL-CCU,IndiGo,15,7176,1291,8467
2026-08-01,2026-08-16,DEL-CCU,IndiGo,15,7098,1277,8375
2026-08-01,2026-08-16,DEL-CCU,IndiGo,15,7405,1332,8737
2026-08-01,2026-08-16,DEL-CCU,IndiGo,15,6073,1093,7166
2026-08-01,2026-08-16,DEL-CCU,IndiGo,15,7445,1340,8785
2026-08-01,2026-08-08,DEL-CCU,IndiGo,7,9362,1685,11047
2026-08-01,2026-08-08,DEL-CCU,IndiGo,7,9371,1686,11057
2026-08-01,2026-08-08,DEL-CCU,IndiGo,7,8263,1487,9750
2026-08-01,2026-08-08,DEL-CCU,IndiGo,7,9924,1786,11710
2026-08-01,2026-08-08,DEL-CCU,IndiGo,7,9859,1774,11633
2026-08-01,2026-08-02,DEL-CCU,IndiGo,1,14144,2545,16689
2026-08-01,2026-08-02,DEL-CCU,IndiGo,1,13110,2359,15469
2026-08-01,2026-08-02,DEL-CCU,IndiGo,1,11634,2094,13728
2026-08-01,2026-08-02,DEL-CCU,IndiGo,1,11844,2131,13975
2026-08-01,2026-08-02,DEL-CCU,IndiGo,1,13428,2417,15845
2026-08-01,2026-09-15,DEL-CCU,Air India,45,5975,1075,7050
2026-08-01,2026-09-15,DEL-CCU,Air India,45,5846,1052,6898
2026-08-01,2026-09-15,DEL-CCU,Air India,45,5520,993,6513
2026-08-01,2026-09-15,DEL-CCU,Air India,45,5328,959,6287
2026-08-01,2026-09-15,DEL-CCU,Air India,45,5013,902,5915
2026-08-01,2026-08-31,DEL-CCU,Air India,30,6775,1219,7994
2026-08-01,2026-08-31,DEL-CCU,Air India,30,6576,1183,7759
2026-08-01,2026-08-31,DEL-CCU,Air India,30,5917,1065,6982
2026-08-01,2026-08-31,DEL-CCU,Air India,30,6805,1224,8029
2026-08-01,2026-08-31,DEL-CCU,Air India,30,6460,1162,7622
2026-08-01,2026-08-16,DEL-CCU,Air India,15,7618,1371,8989
2026-08-01,2026-08-16,DEL-CCU,Air India,15,7370,1326,8696
2026-08-01,2026-08-16,DEL-CCU,Air India,15,7163,1289,8452
2026-08-01,2026-08-16,DEL-CCU,Air India,15,7145,1286,8431
2026-08-01,2026-08-16,DEL-CCU,Air India,15,8358,1504,9862
2026-08-01,2026-08-08,DEL-CCU,Air India,7,10119,1821,11940
2026-08-01,2026-08-08,DEL-CCU,Air India,7,9981,1796,11777
2026-08-01,2026-08-08,DEL-CCU,Air India,7,9454,1701,11155
2026-08-01,2026-08-08,DEL-CCU,Air India,7,10406,1873,12279
2026-08-01,2026-08-08,DEL-CCU,Air India,7,10716,1928,12644
2026-08-01,2026-08-02,DEL-CCU,Air India,1,16429,2957,19386
2026-08-01,2026-08-02,DEL-CCU,Air India,1,14247,2564,16811
2026-08-01,2026-08-02,DEL-CCU,Air India,1,14842,2671,17513
2026-08-01,2026-08-02,DEL-CCU,Air India,1,14940,2689,17629
2026-08-01,2026-08-02,DEL-CCU,Air India,1,15780,2840,18620
2026-08-01,2026-09-15,DEL-CCU,Akasa,45,5017,903,5920
2026-08-01,2026-09-15,DEL-CCU,Akasa,45,5220,939,6159
2026-08-01,2026-09-15,DEL-CCU,Akasa,45,4405,792,5197
2026-08-01,2026-09-15,DEL-CCU,Akasa,45,4376,787,5163
2026-08-01,2026-09-15,DEL-CCU,Akasa,45,4322,777,5099
2026-08-01,2026-08-31,DEL-CCU,Akasa,30,5659,1018,6677
2026-08-01,2026-08-31,DEL-CCU,Akasa,30,4851,873,5724
2026-08-01,2026-08-31,DEL-CCU,Akasa,30,5210,937,6147
2026-08-01,2026-08-31,DEL-CCU,Akasa,30,4864,875,5739
2026-08-01,2026-08-31,DEL-CCU,Akasa,30,4907,883,5790
2026-08-01,2026-08-16,DEL-CCU,Akasa,15,6730,1211,7941
2026-08-01,2026-08-16,DEL-CCU,Akasa,15,6749,1214,7963
2026-08-01,2026-08-16,DEL-CCU,Akasa,15,5671,1020,6691
2026-08-01,2026-08-16,DEL-CCU,Akasa,15,7051,1269,8320
2026-08-01,2026-08-16,DEL-CCU,Akasa,15,6286,1131,7417
